Ticker,Name,Sector,Asset Class,Market Value
AAPL,APPLE INC,Information Technology,Equity,"$7,493,353,805.46 "
MSFT,MICROSOFT CORP,Information Technology,Equity,"$5,828,397,105.30 "
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"$4,832,606,678.56 "
FB,FACEBOOK CLASS A INC,Communication,Equity,"$2,295,423,302.04 "
TSLA,TESLA INC,Consumer Discretionary,Equity,"$1,867,366,535.44 "
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"$1,428,801,201.92 "
GOOG,ALPHABET INC CLASS C,Communication,Equity,"$1,383,403,575.84 "
V,VISA INC CLASS A,Information Technology,Equity,"$1,292,495,474.43 "
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"$1,102,093,655.04 "
NVDA,NVIDIA CORP,Information Technology,Equity,"$1,078,892,876.60 "
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"$964,000,383.28 "
PYPL,PAYPAL HOLDINGS INC,Information Technology,Equity,"$962,621,955.20 "
ADBE,ADOBE INC,Information Technology,Equity,"$842,048,543.16 "
NFLX,NETFLIX INC,Communication,Equity,"$804,855,516.53 "
CRM,SALESFORCE.COM INC,Information Technology,Equity,"$633,072,036.52 "
MRK,MERCK & CO INC,Health Care,Equity,"$632,206,024.00 "
ABBV,ABBVIE INC,Health Care,Equity,"$621,089,296.05 "
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity,"$606,970,102.97 "
QCOM,QUALCOMM INC,Information Technology,Equity,"$600,136,422.36 "
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"$582,800,519.97 "
AVGO,BROADCOM INC,Information Technology,Equity,"$573,842,707.20 "
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"$530,571,291.66 "
PEP,PEPSICO INC,Consumer Staples,Equity,"$528,883,179.80 "
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"$513,919,630.84 "
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"$499,421,911.44 "
LLY,ELI LILLY,Health Care,Equity,"$497,839,935.60 "
AMGN,AMGEN INC,Health Care,Equity,"$468,880,224.48 "
KO,COCA-COLA,Consumer Staples,Equity,"$435,169,603.56 "
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,"$424,695,174.61 "
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"$378,051,268.56 "
ORCL,ORACLE CORP,Information Technology,Equity,"$375,580,371.81 "
NOW,SERVICENOW INC,Information Technology,Equity,"$374,606,695.53 "
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"$357,504,197.13 "
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity,"$346,084,773.30 "
INTU,INTUIT INC,Information Technology,Equity,"$334,510,344.30 "
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,"$330,891,180.30 "
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,"$317,976,201.55 "
LMT,LOCKHEED MARTIN CORP,Industrials,Equity,"$306,976,764.56 "
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Equity,"$302,862,220.85 "
SQ,SQUARE INC CLASS A,Information Technology,Equity,"$281,126,240.92 "
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity,"$278,758,245.60 "
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"$276,248,975.30 "
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"$262,117,087.17 "
ABT,ABBOTT LABORATORIES,Health Care,Equity,"$253,868,112.58 "
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,"$252,002,301.96 "
UNP,UNION PACIFIC CORP,Industrials,Equity,"$251,813,147.42 "
ZTS,ZOETIS INC CLASS A,Health Care,Equity,"$248,637,104.50 "
LRCX,LAM RESEARCH CORP,Information Technology,Equity,"$239,097,077.44 "
TJX,TJX INC,Consumer Discretionary,Equity,"$231,432,146.69 "
ADP,AUTOMATIC DATA PROCESSING INC,Information Technology,Equity,"$227,394,910.00 "
MMM,3M,Industrials,Equity,"$226,394,650.02 "
EQIX,EQUINIX REIT INC,Real Estate,Equity,"$222,104,266.56 "
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Real Estate,Equity,"$215,421,002.08 "
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,"$214,154,055.18 "
SHW,SHERWIN WILLIAMS,Materials,Equity,"$211,311,611.94 "
ZM,ZOOM VIDEO COMMUNICATIONS INC CLAS,Information Technology,Equity,"$196,728,734.52 "
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity,"$196,257,351.51 "
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"$194,416,550.16 "
ILMN,ILLUMINA INC,Health Care,Equity,"$190,108,220.00 "
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,"$188,736,057.00 "
DG,DOLLAR GENERAL CORP,Consumer Discretionary,Equity,"$184,643,189.70 "
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Equity,"$183,892,037.70 "
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity,"$177,903,032.48 "
AON,AON PLC CLASS A,Financials,Equity,"$167,671,688.99 "
MCO,MOODYS CORP,Financials,Equity,"$164,355,075.52 "
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,"$162,953,486.11 "
SPGI,S&P GLOBAL INC,Financials,Equity,"$162,888,016.11 "
MMC,MARSH & MCLENNAN INC,Financials,Equity,"$160,790,292.00 "
ADSK,AUTODESK INC,Information Technology,Equity,"$155,449,510.02 "
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,"$152,516,321.36 "
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,"$147,667,809.24 "
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,"$146,374,932.62 "
ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity,"$145,211,886.82 "
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity,"$143,420,769.36 "
KLAC,KLA CORP,Information Technology,Equity,"$139,924,543.67 "
DOCU,DOCUSIGN INC,Information Technology,Equity,"$138,057,414.30 "
TWLO,TWILIO INC CLASS A,Information Technology,Equity,"$137,976,662.00 "
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary,Equity,"$137,671,271.19 "
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,"$134,682,822.04 "
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,"$130,845,647.24 "
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,Equity,"$128,847,213.00 "
SNPS,SYNOPSYS INC,Information Technology,Equity,"$127,329,355.36 "
ROKU,ROKU INC CLASS A,Communication,Equity,"$126,557,723.50 "
MSCI,MSCI INC,Financials,Equity,"$126,500,162.88 "
CSGP,COSTAR GROUP INC,Industrials,Equity,"$125,356,399.28 "
ROST,ROSS STORES INC,Consumer Discretionary,Equity,"$121,523,565.25 "
XLNX,XILINX INC,Information Technology,Equity,"$121,189,390.87 "
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,"$118,760,226.56 "
MTCH,MATCH GROUP INC,Communication,Equity,"$118,463,412.60 "
DXCM,DEXCOM INC,Health Care,Equity,"$118,289,695.68 "
TTD,TRADE DESK INC CLASS A,Information Technology,Equity,"$116,163,423.00 "
MO,ALTRIA GROUP INC,Consumer Staples,Equity,"$115,854,602.00 "
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,"$115,830,841.14 "
VRSK,VERISK ANALYTICS INC,Industrials,Equity,"$115,016,069.86 "
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,"$113,180,515.88 "
ANSS,ANSYS INC,Information Technology,Equity,"$108,310,899.80 "
TEAM,ATLASSIAN PLC CLASS A,Information Technology,Equity,"$107,465,603.70 "
RMD,RESMED INC,Health Care,Equity,"$106,656,868.88 "
EBAY,EBAY INC,Consumer Discretionary,Equity,"$105,611,982.75 "
MRNA,MODERNA INC,Health Care,Equity,"$104,678,417.65 "
RNG,RINGCENTRAL INC CLASS A,Information Technology,Equity,"$104,410,782.64 "
OKTA,OKTA INC CLASS A,Information Technology,Equity,"$101,760,191.46 "
ITW,ILLINOIS TOOL INC,Industrials,Equity,"$99,047,554.44 "
ATVI,ACTIVISION BLIZZARD INC,Communication,Equity,"$97,355,082.00 "
BLL,BALL CORP,Materials,Equity,"$97,216,557.60 "
SYK,STRYKER CORP,Health Care,Equity,"$96,806,972.64 "
CTAS,CINTAS CORP,Industrials,Equity,"$96,157,379.16 "
SPLK,SPLUNK INC,Information Technology,Equity,"$93,789,473.40 "
CPRT,COPART INC,Industrials,Equity,"$91,842,560.25 "
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,"$90,614,109.11 "
SYY,SYSCO CORP,Consumer Staples,Equity,"$89,592,462.20 "
MTD,METTLER TOLEDO INC,Health Care,Equity,"$88,294,428.64 "
CERN,CERNER CORP,Health Care,Equity,"$82,963,954.80 "
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,"$82,127,697.68 "
PAYX,PAYCHEX INC,Information Technology,Equity,"$82,082,168.82 "
COUP,COUPA SOFTWARE INC,Information Technology,Equity,"$81,577,331.55 "
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"$79,972,463.94 "
HCA,HCA HEALTHCARE INC,Health Care,Equity,"$79,383,197.40 "
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,"$79,295,789.52 "
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,"$78,921,482.15 "
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity,"$78,826,885.83 "
FAST,FASTENAL,Industrials,Equity,"$78,760,592.65 "
FLT,FLEETCOR TECHNOLOGIES INC,Information Technology,Equity,"$78,136,875.02 "
SGEN,SEAGEN INC,Health Care,Equity,"$77,722,578.36 "
PAYC,PAYCOM SOFTWARE INC,Information Technology,Equity,"$77,347,865.25 "
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,"$76,760,119.48 "
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,"$76,388,877.76 "
PINS,PINTEREST INC CLASS A,Communication,Equity,"$76,331,442.80 "
CHD,CHURCH AND DWIGHT INC,Consumer Staples,Equity,"$76,248,179.15 "
MCK,MCKESSON CORP,Health Care,Equity,"$73,148,664.96 "
MKTX,MARKETAXESS HOLDINGS INC,Financials,Equity,"$73,015,704.32 "
ETSY,ETSY INC,Consumer Discretionary,Equity,"$72,884,923.43 "
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"$72,200,000.00 "
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity,"$72,109,194.44 "
ANTM,ANTHEM INC,Health Care,Equity,"$72,089,842.44 "
HUM,HUMANA INC,Health Care,Equity,"$72,081,977.38 "
TDOC,TELADOC HEALTH INC,Health Care,Equity,"$70,437,509.68 "
CI,CIGNA CORP,Health Care,Equity,"$69,901,639.50 "
TER,TERADYNE INC,Information Technology,Equity,"$68,789,285.30 "
FTNT,FORTINET INC,Information Technology,Equity,"$68,423,909.22 "
INFO,IHS MARKIT LTD,Industrials,Equity,"$68,162,015.87 "
FISV,FISERV INC,Information Technology,Equity,"$67,655,498.14 "
EPAM,EPAM SYSTEMS INC,Information Technology,Equity,"$66,516,568.65 "
CDW,CDW CORP,Information Technology,Equity,"$64,810,631.88 "
ENPH,ENPHASE ENERGY INC,Information Technology,Equity,"$64,206,754.11 "
MDB,MONGODB INC CLASS A,Information Technology,Equity,"$64,096,897.92 "
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,Equity,"$63,937,523.13 "
CLX,CLOROX,Consumer Staples,Equity,"$63,723,932.80 "
NVCR,NOVOCURE LTD,Health Care,Equity,"$61,116,689.76 "
BR,BROADRIDGE FINANCIAL SOLUTIONS INC,Information Technology,Equity,"$60,697,533.60 "
HSY,HERSHEY FOODS,Consumer Staples,Equity,"$60,609,060.40 "
EFX,EQUIFAX INC,Industrials,Equity,"$60,463,632.12 "
TYL,TYLER TECHNOLOGIES INC,Information Technology,Equity,"$60,025,865.20 "
TRU,TRANSUNION,Industrials,Equity,"$59,479,711.06 "
BAX,BAXTER INTERNATIONAL INC,Health Care,Equity,"$59,362,033.44 "
STNE,STONECO LTD CLASS A,Information Technology,Equity,"$59,318,684.16 "
EXAS,EXACT SCIENCES CORP,Health Care,Equity,"$59,224,354.90 "
PODD,INSULET CORP,Health Care,Equity,"$59,181,668.19 "
ZEN,ZENDESK INC,Information Technology,Equity,"$58,121,318.24 "
PGR,PROGRESSIVE CORP,Financials,Equity,"$58,114,742.40 "
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,"$56,817,873.90 "
HUBS,HUBSPOT INC,Information Technology,Equity,"$56,763,864.96 "
AZO,AUTOZONE INC,Consumer Discretionary,Equity,"$56,643,879.52 "
TSCO,TRACTOR SUPPLY,Consumer Discretionary,Equity,"$56,238,747.84 "
WORK,SLACK TECHNOLOGIES CLASS A INC,Information Technology,Equity,"$55,776,990.72 "
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,"$55,082,823.15 "
INCY,INCYTE CORP,Health Care,Equity,"$54,810,968.88 "
CAH,CARDINAL HEALTH INC,Health Care,Equity,"$54,209,093.64 "
SEDG,SOLAREDGE TECHNOLOGIES INC,Information Technology,Equity,"$53,907,665.12 "
BURL,BURLINGTON STORES INC,Consumer Discretionary,Equity,"$52,621,506.05 "
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Equity,"$52,182,387.18 "
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,"$51,951,218.49 "
DDOG,DATADOG INC CLASS A,Information Technology,Equity,"$51,925,524.96 "
W,WAYFAIR INC CLASS A,Consumer Discretionary,Equity,"$51,102,609.48 "
ZS,ZSCALER INC,Information Technology,Equity,"$50,618,696.31 "
POOL,POOL CORP,Consumer Discretionary,Equity,"$49,874,770.00 "
BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care,Equity,"$49,662,705.36 "
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Equity,"$49,646,518.08 "
FICO,FAIR ISAAC CORP,Information Technology,Equity,"$49,532,552.00 "
ABMD,ABIOMED INC,Health Care,Equity,"$49,481,997.60 "
IAC,IAC INTERACTIVE,Communication,Equity,"$48,951,140.70 "
GDDY,GODADDY INC CLASS A,Information Technology,Equity,"$48,924,905.40 "
ROK,ROCKWELL AUTOMATION INC,Industrials,Equity,"$48,819,414.07 "
ANET,ARISTA NETWORKS INC,Information Technology,Equity,"$48,388,622.10 "
AVTR,AVANTOR INC,Health Care,Equity,"$48,115,049.70 "
LNG,CHENIERE ENERGY INC,Energy,Equity,"$47,960,548.29 "
IT,GARTNER INC,Information Technology,Equity,"$47,854,199.46 "
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,"$47,791,028.04 "
BKI,BLACK KNIGHT INC,Information Technology,Equity,"$47,234,560.50 "
CGNX,COGNEX CORP,Information Technology,Equity,"$47,192,566.70 "
AVLR,AVALARA INC,Information Technology,Equity,"$47,019,702.62 "
CVNA,CARVANA CLASS A,Consumer Discretionary,Equity,"$46,917,981.18 "
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples,Equity,"$46,838,550.80 "
GWW,WW GRAINGER INC,Industrials,Equity,"$46,104,852.72 "
HZNP,HORIZON THERAPEUTICS PUBLIC PLC,Health Care,Equity,"$45,626,215.25 "
MASI,MASIMO CORP,Health Care,Equity,"$45,289,661.76 "
VRSN,VERISIGN INC,Information Technology,Equity,"$45,268,066.80 "
SRPT,SAREPTA THERAPEUTICS INC,Health Care,Equity,"$45,025,556.55 "
HOLX,HOLOGIC INC,Health Care,Equity,"$44,998,962.29 "
IQV,IQVIA HOLDINGS INC,Health Care,Equity,"$44,562,804.06 "
GNRC,GENERAC HOLDINGS INC,Industrials,Equity,"$43,704,336.03 "
PTC,PTC INC,Information Technology,Equity,"$43,026,707.25 "
DLTR,DOLLAR TREE INC,Consumer Discretionary,Equity,"$42,849,744.40 "
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Equity,"$42,629,825.00 "
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,Equity,"$42,132,054.90 "
CABO,CABLE ONE INC,Communication,Equity,"$42,110,591.16 "
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Information Technology,Equity,"$41,706,127.38 "
ENTG,ENTEGRIS INC,Information Technology,Equity,"$41,533,170.70 "
TFX,TELEFLEX INC,Health Care,Equity,"$41,441,806.44 "
CARR,CARRIER GLOBAL CORP,Industrials,Equity,"$40,545,114.84 "
NLOK,NORTONLIFELOCK INC,Information Technology,Equity,"$40,420,071.54 "
BIIB,BIOGEN INC,Health Care,Equity,"$39,999,839.88 "
VMW,VMWARE CLASS A INC,Information Technology,Equity,"$39,653,886.42 "
TECH,BIO TECHNE CORP,Health Care,Equity,"$39,014,193.00 "
ATUS,ALTICE USA INC CLASS A,Communication,Equity,"$38,950,999.15 "
CHGG,CHEGG INC,Consumer Discretionary,Equity,"$37,620,638.40 "
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,Equity,"$37,220,644.76 "
FIVN,FIVE9 INC,Information Technology,Equity,"$37,032,096.00 "
GH,GUARDANT HEALTH INC,Health Care,Equity,"$36,990,106.56 "
ECL,ECOLAB INC,Materials,Equity,"$36,955,369.80 "
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate,Equity,"$36,546,183.24 "
LYV,LIVE NATION ENTERTAINMENT INC,Communication,Equity,"$35,833,844.64 "
BILL,BILL COM HOLDINGS INC,Information Technology,Equity,"$35,056,476.00 "
CNC,CENTENE CORP,Health Care,Equity,"$35,016,639.57 "
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,"$34,516,560.32 "
RGEN,REPLIGEN CORP,Health Care,Equity,"$34,363,858.12 "
OLED,UNIVERSAL DISPLAY CORP,Information Technology,Equity,"$33,920,318.40 "
TREX,TREX INC,Industrials,Equity,"$33,873,949.20 "
