"","ref.date","Communication Services","Consumer Discretionary","Consumer Staples","Energy","Financials","Health Care","Industrials","Information Technology","Materials","Real Estate","Utilities","Breadth"
"1",2020-12-31,60,56,65,16,92,75,75,74,64,63,79,719
"2",2020-12-30,56,73,55,28,64,62,56,61,61,37,32,585
"3",2020-12-29,64,61,55,8,58,62,41,60,46,33,25,513
"4",2020-12-28,80,74,68,8,66,60,62,68,50,47,25,608
"5",2020-12-24,48,68,55,20,64,63,55,62,64,37,18,554
"6",2020-12-23,44,68,39,48,64,57,52,57,61,27,18,535
"7",2020-12-22,32,58,29,12,48,60,37,64,46,37,18,441
"8",2020-12-21,28,58,55,28,58,65,48,72,68,30,14,524
"9",2020-12-18,36,66,61,64,53,73,54,83,79,33,25,627
"10",2020-12-17,48,74,65,72,67,75,52,90,64,57,39,703
"11",2020-12-16,56,63,55,88,72,65,42,81,43,43,21,629
"12",2020-12-15,56,68,45,96,73,71,51,88,46,53,39,686
"13",2020-12-14,52,42,35,84,39,52,34,75,29,20,11,473
"14",2020-12-11,72,53,39,96,70,49,49,76,43,23,14,584
"15",2020-12-10,80,56,42,100,83,57,55,83,57,33,11,657
"16",2020-12-09,96,65,48,96,84,65,70,92,71,53,7,747
"17",2020-12-08,100,68,65,96,92,71,63,94,79,50,11,789
"18",2020-12-07,100,77,55,96,84,57,61,93,68,63,7,761
"19",2020-12-04,100,74,58,96,92,68,72,93,75,63,11,802
"20",2020-12-03,100,74,52,96,91,60,55,88,71,63,18,768
"21",2020-12-02,100,71,55,96,94,62,68,93,79,57,21,796
"22",2020-12-01,100,87,77,100,94,57,80,94,93,63,7,852
"23",2020-11-30,100,84,77,100,81,56,83,94,82,53,7,817
"24",2020-11-27,100,87,74,100,92,57,89,92,89,70,32,882
"25",2020-11-25,88,84,81,100,94,52,92,89,93,70,54,897
"26",2020-11-24,88,84,81,100,94,57,94,88,96,73,54,909
"27",2020-11-23,88,85,68,100,91,56,96,83,89,67,25,848
"28",2020-11-20,88,81,74,96,95,56,90,83,89,67,21,840
"29",2020-11-19,80,81,77,96,97,59,97,86,89,73,25,860
"30",2020-11-18,76,76,71,96,94,60,96,83,89,77,36,854
"31",2020-11-17,76,74,84,96,95,78,93,86,93,90,61,926
"32",2020-11-16,80,74,87,96,97,86,94,81,93,87,89,964
"33",2020-11-13,76,71,84,96,95,86,89,85,89,90,79,940
"34",2020-11-12,68,61,74,96,94,84,83,76,82,80,71,869
"35",2020-11-11,80,74,74,96,95,84,87,82,89,80,89,930
"36",2020-11-10,76,66,61,96,88,75,87,69,93,77,86,874
"37",2020-11-09,72,60,42,92,88,81,80,83,89,63,86,836
"38",2020-11-06,76,63,52,20,59,63,69,75,71,47,54,649
"39",2020-11-05,84,73,35,36,77,67,77,74,75,47,61,706
"40",2020-11-04,36,50,26,28,47,62,49,57,36,37,54,482
"41",2020-11-03,24,44,26,24,67,51,62,36,68,60,86,548
"42",2020-11-02,28,27,19,40,44,35,34,12,64,23,57,383
"43",2020-10-30,12,16,3,8,25,22,8,7,21,7,14,143
"44",2020-10-29,20,21,3,8,22,21,8,17,14,7,32,173
"45",2020-10-28,4,15,3,8,14,21,4,11,4,3,36,123
"46",2020-10-27,28,32,19,16,25,48,17,25,25,7,100,342
"47",2020-10-26,32,37,19,16,61,60,41,26,46,13,100,451
"48",2020-10-23,40,77,65,56,77,73,70,58,71,37,96,720
"49",2020-10-22,44,63,61,60,80,75,72,65,71,27,100,718
"50",2020-10-21,40,61,52,20,62,62,70,65,71,27,96,626
"51",2020-10-20,32,73,58,36,75,75,83,72,75,30,96,705
"52",2020-10-19,24,66,71,20,67,76,75,76,79,27,93,674
"53",2020-10-16,56,79,97,28,91,86,89,90,89,40,96,841
"54",2020-10-15,52,84,97,64,86,81,89,90,86,57,96,882
"55",2020-10-14,52,82,90,40,81,90,89,92,86,50,100,852
"56",2020-10-13,56,82,94,20,89,90,85,96,82,63,100,857
"57",2020-10-12,68,90,97,48,98,90,93,97,89,87,100,957
"58",2020-10-09,48,89,90,36,98,89,92,99,89,93,100,923
"59",2020-10-08,60,89,84,60,95,87,92,94,82,97,100,940
"60",2020-10-07,36,84,81,16,91,78,83,90,79,83,93,814
"61",2020-10-06,36,65,61,8,81,57,59,72,57,90,100,686
"62",2020-10-05,56,73,74,16,92,73,76,86,71,93,93,803
"63",2020-10-02,36,65,55,8,62,40,54,64,46,93,96,619
"64",2020-10-01,44,58,58,0,36,56,30,85,25,53,71,516
"65",2020-09-30,40,56,55,0,39,57,44,71,39,23,61,485
"66",2020-09-29,36,37,23,4,17,40,38,68,29,17,46,355
"67",2020-09-28,40,55,32,4,23,38,46,67,39,20,46,410
"68",2020-09-25,24,27,6,0,5,29,18,29,25,10,54,227
"69",2020-09-24,16,16,3,4,2,8,7,10,11,0,21,98
"70",2020-09-23,12,21,3,0,0,14,6,10,11,0,4,81
"71",2020-09-22,24,32,10,4,6,25,23,24,39,7,21,215
"72",2020-09-21,12,16,10,4,8,24,13,11,36,3,14,151
"73",2020-09-18,48,44,16,20,42,41,59,26,79,27,21,423
"74",2020-09-17,48,55,19,28,48,51,72,36,93,60,43,553
"75",2020-09-16,52,63,29,28,50,49,77,38,89,77,57,609
"76",2020-09-15,60,63,35,0,34,52,69,43,89,73,50,568
"77",2020-09-14,48,68,35,4,53,44,68,28,93,63,50,554
"78",2020-09-11,40,50,29,0,25,27,46,18,75,27,29,366
"79",2020-09-10,32,48,23,0,16,19,30,12,61,33,25,299
"80",2020-09-09,48,53,35,0,28,30,49,29,68,53,39,432
"81",2020-09-08,36,50,19,0,23,16,24,12,46,47,14,287
"82",2020-09-04,56,56,48,0,66,32,48,35,71,73,25,510
"83",2020-09-03,60,65,58,0,45,40,51,50,79,77,29,554
"84",2020-09-02,72,87,77,4,77,75,93,93,89,87,61,815
"85",2020-09-01,72,79,52,4,50,52,79,75,86,53,14,616
"86",2020-08-31,76,73,77,8,45,62,73,69,64,57,18,622
"87",2020-08-28,92,81,74,24,81,46,87,74,89,77,14,739
"88",2020-08-27,88,77,81,12,83,51,82,61,82,70,11,698
"89",2020-08-26,92,84,77,8,44,44,79,69,89,47,7,640
"90",2020-08-25,92,89,81,20,62,46,80,64,82,67,14,697
"91",2020-08-24,92,90,87,24,61,40,89,61,75,57,32,708
"92",2020-08-21,80,81,68,12,25,37,69,47,50,40,18,527
"93",2020-08-20,84,76,61,8,33,44,75,57,54,40,14,546
"94",2020-08-19,80,87,81,36,42,56,85,61,71,30,36,665
"95",2020-08-18,88,90,90,44,42,62,92,64,71,73,36,752
"96",2020-08-17,80,95,90,72,69,63,94,64,79,73,43,822
"97",2020-08-14,84,100,87,72,83,56,94,57,79,57,39,808
"98",2020-08-13,88,98,84,60,80,57,96,64,79,60,50,816
"99",2020-08-12,72,97,87,92,83,59,97,64,75,90,61,877
"100",2020-08-11,72,85,71,80,89,48,96,53,79,77,43,793
"101",2020-08-10,80,92,87,88,81,54,93,64,79,90,79,887
"102",2020-08-07,68,81,87,60,81,59,92,71,61,83,89,832
"103",2020-08-06,72,81,84,64,58,54,85,78,57,57,64,754
"104",2020-08-05,68,82,90,68,67,70,87,78,64,53,61,788
"105",2020-08-04,80,65,90,72,47,67,63,79,54,67,86,770
"106",2020-08-03,72,56,81,44,56,75,68,81,43,50,71,697
"107",2020-07-31,68,63,77,36,59,62,62,75,46,53,93,694
"108",2020-07-30,68,65,77,32,64,75,70,62,46,60,89,708
"109",2020-07-29,72,81,94,88,91,87,79,65,86,70,86,899
"110",2020-07-28,44,68,84,36,70,73,77,49,86,60,89,736
"111",2020-07-27,64,79,90,60,86,76,76,75,96,33,75,810
"112",2020-07-24,80,77,87,72,88,73,83,56,100,33,96,845
"113",2020-07-23,80,81,94,72,89,83,92,72,100,40,96,899
"114",2020-07-22,88,89,90,84,92,90,94,90,100,47,96,960
"115",2020-07-21,80,90,94,96,92,94,93,86,100,27,93,945
"116",2020-07-20,68,84,81,32,59,92,85,88,96,33,89,807
"117",2020-07-17,84,85,97,36,62,95,92,78,96,50,100,875
"118",2020-07-16,84,89,97,48,80,94,89,69,96,20,86,852
"119",2020-07-15,84,94,87,52,78,95,92,76,96,33,75,862
"120",2020-07-14,72,63,84,20,52,81,73,60,96,27,82,710
"121",2020-07-13,60,39,71,0,45,54,55,44,71,10,71,520
"122",2020-07-10,64,48,65,0,42,59,38,65,61,37,64,543
"123",2020-07-09,48,34,45,0,17,62,37,62,32,33,46,416
"124",2020-07-08,52,45,58,4,33,68,49,62,46,27,57,501
"125",2020-07-07,56,39,58,0,17,67,44,50,75,20,46,472
"126",2020-07-06,48,56,55,8,27,73,63,76,89,40,54,589
"127",2020-07-02,32,35,48,0,14,65,32,56,57,40,46,425
"128",2020-07-01,36,27,42,0,14,59,20,43,36,43,29,349
"129",2020-06-30,16,39,45,0,19,52,30,51,29,10,11,302
"130",2020-06-29,20,27,26,0,2,25,15,33,14,3,7,172
"131",2020-06-26,20,15,16,0,2,22,8,28,7,7,4,129
"132",2020-06-25,32,21,23,0,23,27,10,36,14,10,4,200
"133",2020-06-24,28,21,13,0,5,22,4,28,11,3,7,142
"134",2020-06-23,40,45,39,16,31,40,27,57,29,23,7,354
"135",2020-06-22,40,42,52,16,28,37,27,61,39,23,14,379
"136",2020-06-19,40,31,48,16,41,41,35,54,36,23,4,369
"137",2020-06-18,56,53,68,32,61,37,51,62,46,53,29,548
"138",2020-06-17,60,61,71,12,66,35,61,60,54,80,32,592
"139",2020-06-16,60,77,77,60,88,32,73,72,71,100,54,764
